country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Albania2004,,"7,314,865,176",2544,Millenials
Albania2004,,"7,314,865,176",2544,Millenials
Albania2005,0.695,"8,158,548,717",2931,Millenials
Albania2005,0.695,"8,158,548,717",2931,Generation X
Albania2005,0.695,"8,158,548,717",2931,Boomers
Albania2005,0.695,"8,158,548,717",2931,Millenials
Albania2005,0.695,"8,158,548,717",2931,Silent
Albania2005,0.695,"8,158,548,717",2931,Silent
Albania2005,0.695,"8,158,548,717",2931,Millenials
Albania2005,0.695,"8,158,548,717",2931,Generation X
Albania2005,0.695,"8,158,548,717",2931,Boomers
Albania2005,0.695,"8,158,548,717",2931,Millenials
Albania2005,0.695,"8,158,548,717",2931,Silent
Albania2005,0.695,"8,158,548,717",2931,Silent
Albania2006,,"8,992,642,349",3235,Millenials
Albania2006,,"8,992,642,349",3235,Generation X
Albania2006,,"8,992,642,349",3235,Boomers
Albania2006,,"8,992,642,349",3235,Millenials
Albania2006,,"8,992,642,349",3235,Silent
Albania2006,,"8,992,642,349",3235,Silent
Albania2006,,"8,992,642,349",3235,Millenials
Albania2006,,"8,992,642,349",3235,Generation X
Albania2006,,"8,992,642,349",3235,Boomers
Albania2006,,"8,992,642,349",3235,Millenials
Albania2006,,"8,992,642,349",3235,Silent
Albania2006,,"8,992,642,349",3235,Silent
Albania2007,,"10,701,011,897",3863,Silent
Albania2007,,"10,701,011,897",3863,Boomers
Albania2007,,"10,701,011,897",3863,Silent
Albania2007,,"10,701,011,897",3863,Silent
Albania2007,,"10,701,011,897",3863,Generation X
Albania2007,,"10,701,011,897",3863,Millenials
Albania2007,,"10,701,011,897",3863,Millenials
Albania2007,,"10,701,011,897",3863,Generation X
Albania2007,,"10,701,011,897",3863,Silent
Albania2007,,"10,701,011,897",3863,Boomers
Albania2007,,"10,701,011,897",3863,Generation Z
Albania2007,,"10,701,011,897",3863,Generation Z
Albania2008,,"12,881,352,688",4672,Generation X
Albania2008,,"12,881,352,688",4672,Boomers
Albania2008,,"12,881,352,688",4672,Silent
Albania2008,,"12,881,352,688",4672,Silent
Albania2008,,"12,881,352,688",4672,Millenials
Albania2008,,"12,881,352,688",4672,Generation X
Albania2008,,"12,881,352,688",4672,Boomers
Albania2008,,"12,881,352,688",4672,Silent
Albania2008,,"12,881,352,688",4672,Millenials
Albania2008,,"12,881,352,688",4672,Silent
Albania2008,,"12,881,352,688",4672,Generation Z
Albania2008,,"12,881,352,688",4672,Generation Z
Albania2009,,"12,044,212,904",4387,Millenials
Albania2009,,"12,044,212,904",4387,Generation X
Albania2009,,"12,044,212,904",4387,Boomers
Albania2009,,"12,044,212,904",4387,Generation Z
Albania2009,,"12,044,212,904",4387,Silent
Albania2009,,"12,044,212,904",4387,Silent
Albania2009,,"12,044,212,904",4387,Millenials
Albania2009,,"12,044,212,904",4387,Generation X
Albania2009,,"12,044,212,904",4387,Boomers
Albania2009,,"12,044,212,904",4387,Generation Z
Albania2009,,"12,044,212,904",4387,Silent
Albania2009,,"12,044,212,904",4387,Silent
Albania2010,0.722,"11,926,953,259",4359,Silent
Albania2010,0.722,"11,926,953,259",4359,Generation X
Albania2010,0.722,"11,926,953,259",4359,Generation X
Albania2010,0.722,"11,926,953,259",4359,Silent
Albania2010,0.722,"11,926,953,259",4359,Millenials
Albania2010,0.722,"11,926,953,259",4359,Generation X
Albania2010,0.722,"11,926,953,259",4359,Silent
Albania2010,0.722,"11,926,953,259",4359,Generation X
Albania2010,0.722,"11,926,953,259",4359,Silent
Albania2010,0.722,"11,926,953,259",4359,Millenials
Albania2010,0.722,"11,926,953,259",4359,Generation Z
Albania2010,0.722,"11,926,953,259",4359,Generation Z
Antigua and Barbuda1985,,"240,923,926",3850,Generation X
Antigua and Barbuda1985,,"240,923,926",3850,Boomers
Antigua and Barbuda1985,,"240,923,926",3850,Silent
Antigua and Barbuda1985,,"240,923,926",3850,Generation X
Antigua and Barbuda1985,,"240,923,926",3850,G.I. Generation
Antigua and Barbuda1985,,"240,923,926",3850,G.I. Generation
Antigua and Barbuda1985,,"240,923,926",3850,Generation X
Antigua and Barbuda1985,,"240,923,926",3850,Boomers
Antigua and Barbuda1985,,"240,923,926",3850,Silent
Antigua and Barbuda1985,,"240,923,926",3850,Generation X
Antigua and Barbuda1985,,"240,923,926",3850,G.I. Generation
Antigua and Barbuda1985,,"240,923,926",3850,G.I. Generation
Antigua and Barbuda1986,,"290,440,148",4740,Generation X
Antigua and Barbuda1986,,"290,440,148",4740,Boomers
Antigua and Barbuda1986,,"290,440,148",4740,Silent
Antigua and Barbuda1986,,"290,440,148",4740,Generation X
Antigua and Barbuda1986,,"290,440,148",4740,G.I. Generation
Antigua and Barbuda1986,,"290,440,148",4740,G.I. Generation
Antigua and Barbuda1986,,"290,440,148",4740,Generation X
Antigua and Barbuda1986,,"290,440,148",4740,Boomers
Antigua and Barbuda1986,,"290,440,148",4740,Silent
Antigua and Barbuda1986,,"290,440,148",4740,Generation X
Antigua and Barbuda1986,,"290,440,148",4740,G.I. Generation
Antigua and Barbuda1986,,"290,440,148",4740,G.I. Generation
Antigua and Barbuda1987,,"337,174,852",5595,Generation X
Antigua and Barbuda1987,,"337,174,852",5595,Boomers
Antigua and Barbuda1987,,"337,174,852",5595,Silent
Antigua and Barbuda1987,,"337,174,852",5595,Generation X
Antigua and Barbuda1987,,"337,174,852",5595,G.I. Generation
Antigua and Barbuda1987,,"337,174,852",5595,G.I. Generation
Antigua and Barbuda1987,,"337,174,852",5595,Generation X
Antigua and Barbuda1987,,"337,174,852",5595,Boomers
Antigua and Barbuda1987,,"337,174,852",5595,Silent
Antigua and Barbuda1987,,"337,174,852",5595,Generation X
Antigua and Barbuda1987,,"337,174,852",5595,G.I. Generation
Antigua and Barbuda1987,,"337,174,852",5595,G.I. Generation
Antigua and Barbuda1988,,"398,637,741",6693,Generation X
Antigua and Barbuda1988,,"398,637,741",6693,Boomers
Antigua and Barbuda1988,,"398,637,741",6693,Silent
Antigua and Barbuda1988,,"398,637,741",6693,Generation X
Antigua and Barbuda1988,,"398,637,741",6693,G.I. Generation
Antigua and Barbuda1988,,"398,637,741",6693,G.I. Generation
Antigua and Barbuda1988,,"398,637,741",6693,Generation X
Antigua and Barbuda1988,,"398,637,741",6693,Boomers
Antigua and Barbuda1988,,"398,637,741",6693,Silent
Antigua and Barbuda1988,,"398,637,741",6693,Generation X
Antigua and Barbuda1988,,"398,637,741",6693,G.I. Generation
Antigua and Barbuda1988,,"398,637,741",6693,G.I. Generation
Antigua and Barbuda1989,,"438,794,778",7407,Generation X
Antigua and Barbuda1989,,"438,794,778",7407,Boomers
Antigua and Barbuda1989,,"438,794,778",7407,Silent
Antigua and Barbuda1989,,"438,794,778",7407,Generation X
Antigua and Barbuda1989,,"438,794,778",7407,G.I. Generation
Antigua and Barbuda1989,,"438,794,778",7407,G.I. Generation
Antigua and Barbuda1989,,"438,794,778",7407,Generation X
Antigua and Barbuda1989,,"438,794,778",7407,Boomers
Antigua and Barbuda1989,,"438,794,778",7407,Silent
Antigua and Barbuda1989,,"438,794,778",7407,Generation X
Antigua and Barbuda1989,,"438,794,778",7407,G.I. Generation
Antigua and Barbuda1989,,"438,794,778",7407,G.I. Generation
Antigua and Barbuda1990,,"459,469,074",7744,Silent
Antigua and Barbuda1990,,"459,469,074",7744,Generation X
Antigua and Barbuda1990,,"459,469,074",7744,Boomers
Antigua and Barbuda1990,,"459,469,074",7744,Silent
Antigua and Barbuda1990,,"459,469,074",7744,Generation X
Antigua and Barbuda1990,,"459,469,074",7744,G.I. Generation
Antigua and Barbuda1990,,"459,469,074",7744,G.I. Generation
Antigua and Barbuda1990,,"459,469,074",7744,Generation X
Antigua and Barbuda1990,,"459,469,074",7744,Boomers
Antigua and Barbuda1990,,"459,469,074",7744,Generation X
Antigua and Barbuda1990,,"459,469,074",7744,G.I. Generation
Antigua and Barbuda1990,,"459,469,074",7744,G.I. Generation
Antigua and Barbuda1991,,"481,706,333",7976,Generation X
Antigua and Barbuda1991,,"481,706,333",7976,Boomers
Antigua and Barbuda1991,,"481,706,333",7976,Boomers
Antigua and Barbuda1991,,"481,706,333",7976,Millenials
Antigua and Barbuda1991,,"481,706,333",7976,Silent
Antigua and Barbuda1991,,"481,706,333",7976,G.I. Generation
Antigua and Barbuda1991,,"481,706,333",7976,Generation X
Antigua and Barbuda1991,,"481,706,333",7976,Boomers
Antigua and Barbuda1991,,"481,706,333",7976,Boomers
Antigua and Barbuda1991,,"481,706,333",7976,Millenials
Antigua and Barbuda1991,,"481,706,333",7976,Silent
Antigua and Barbuda1991,,"481,706,333",7976,G.I. Generation
Antigua and Barbuda1992,,"499,281,148",8087,Generation X
Antigua and Barbuda1992,,"499,281,148",8087,Boomers
Antigua and Barbuda1992,,"499,281,148",8087,Boomers
Antigua and Barbuda1992,,"499,281,148",8087,Millenials
Antigua and Barbuda1992,,"499,281,148",8087,Silent
Antigua and Barbuda1992,,"499,281,148",8087,G.I. Generation
Antigua and Barbuda1992,,"499,281,148",8087,Generation X
Antigua and Barbuda1992,,"499,281,148",8087,Boomers
Antigua and Barbuda1992,,"499,281,148",8087,Boomers
Antigua and Barbuda1992,,"499,281,148",8087,Millenials
Antigua and Barbuda1992,,"499,281,148",8087,Silent
Antigua and Barbuda1992,,"499,281,148",8087,G.I. Generation
Antigua and Barbuda1993,,"535,172,778",8453,Boomers
Antigua and Barbuda1993,,"535,172,778",8453,Generation X
Antigua and Barbuda1993,,"535,172,778",8453,Boomers
Antigua and Barbuda1993,,"535,172,778",8453,Boomers
Antigua and Barbuda1993,,"535,172,778",8453,Millenials
Antigua and Barbuda1993,,"535,172,778",8453,Silent
Antigua and Barbuda1993,,"535,172,778",8453,G.I. Generation
Antigua and Barbuda1993,,"535,172,778",8453,Generation X
Antigua and Barbuda1993,,"535,172,778",8453,Boomers
Antigua and Barbuda1993,,"535,172,778",8453,Millenials
Antigua and Barbuda1993,,"535,172,778",8453,Silent
Antigua and Barbuda1993,,"535,172,778",8453,G.I. Generation
Antigua and Barbuda1994,,"589,429,593",9062,Generation X
Antigua and Barbuda1994,,"589,429,593",9062,Boomers
Antigua and Barbuda1994,,"589,429,593",9062,Boomers
Antigua and Barbuda1994,,"589,429,593",9062,Millenials
Antigua and Barbuda1994,,"589,429,593",9062,Silent
Antigua and Barbuda1994,,"589,429,593",9062,G.I. Generation
Antigua and Barbuda1994,,"589,429,593",9062,Generation X
Antigua and Barbuda1994,,"589,429,593",9062,Boomers
Antigua and Barbuda1994,,"589,429,593",9062,Boomers
Antigua and Barbuda1994,,"589,429,593",9062,Millenials
Antigua and Barbuda1994,,"589,429,593",9062,Silent
Antigua and Barbuda1994,,"589,429,593",9062,G.I. Generation
Antigua and Barbuda1995,,"577,280,741",8636,Generation X
Antigua and Barbuda1995,,"577,280,741",8636,Generation X
Antigua and Barbuda1995,,"577,280,741",8636,Boomers
Antigua and Barbuda1995,,"577,280,741",8636,Millenials
Antigua and Barbuda1995,,"577,280,741",8636,Silent
Antigua and Barbuda1995,,"577,280,741",8636,G.I. Generation
Antigua and Barbuda1995,,"577,280,741",8636,Generation X
Antigua and Barbuda1995,,"577,280,741",8636,Generation X
Antigua and Barbuda1995,,"577,280,741",8636,Boomers
Antigua and Barbuda1995,,"577,280,741",8636,Millenials
Antigua and Barbuda1995,,"577,280,741",8636,Silent
Antigua and Barbuda1995,,"577,280,741",8636,G.I. Generation
Antigua and Barbuda1998,,"727,860,593",10078,Generation X
Antigua and Barbuda1998,,"727,860,593",10078,Generation X
Antigua and Barbuda1998,,"727,860,593",10078,Boomers
Antigua and Barbuda1998,,"727,860,593",10078,Millenials
Antigua and Barbuda1998,,"727,860,593",10078,Silent
Antigua and Barbuda1998,,"727,860,593",10078,G.I. Generation
Antigua and Barbuda1998,,"727,860,593",10078,Generation X
Antigua and Barbuda1998,,"727,860,593",10078,Generation X
Antigua and Barbuda1998,,"727,860,593",10078,Boomers
Antigua and Barbuda1998,,"727,860,593",10078,Millenials
Antigua and Barbuda1998,,"727,860,593",10078,Silent
Antigua and Barbuda1998,,"727,860,593",10078,G.I. Generation
Antigua and Barbuda1999,,"766,198,926",10378,Generation X
Antigua and Barbuda1999,,"766,198,926",10378,Generation X
Antigua and Barbuda1999,,"766,198,926",10378,Boomers
Antigua and Barbuda1999,,"766,198,926",10378,Millenials
Antigua and Barbuda1999,,"766,198,926",10378,Silent
Antigua and Barbuda1999,,"766,198,926",10378,G.I. Generation
Antigua and Barbuda1999,,"766,198,926",10378,Generation X
Antigua and Barbuda1999,,"766,198,926",10378,Generation X
Antigua and Barbuda1999,,"766,198,926",10378,Boomers
Antigua and Barbuda1999,,"766,198,926",10378,Millenials
Antigua and Barbuda1999,,"766,198,926",10378,Silent
Antigua and Barbuda1999,,"766,198,926",10378,G.I. Generation
Antigua and Barbuda2000,,"830,158,778",11021,Silent
Antigua and Barbuda2000,,"830,158,778",11021,Boomers
Antigua and Barbuda2000,,"830,158,778",11021,Generation X
Antigua and Barbuda2000,,"830,158,778",11021,Generation X
Antigua and Barbuda2000,,"830,158,778",11021,Boomers
Antigua and Barbuda2000,,"830,158,778",11021,Millenials
Antigua and Barbuda2000,,"830,158,778",11021,Silent
Antigua and Barbuda2000,,"830,158,778",11021,G.I. Generation
Antigua and Barbuda2000,,"830,158,778",11021,Generation X
Antigua and Barbuda2000,,"830,158,778",11021,Generation X
Antigua and Barbuda2000,,"830,158,778",11021,Millenials
Antigua and Barbuda2000,,"830,158,778",11021,G.I. Generation
Antigua and Barbuda2001,,"800,740,259",10468,Boomers
Antigua and Barbuda2001,,"800,740,259",10468,Millenials
Antigua and Barbuda2001,,"800,740,259",10468,Generation X
Antigua and Barbuda2001,,"800,740,259",10468,Boomers
Antigua and Barbuda2001,,"800,740,259",10468,Millenials
Antigua and Barbuda2001,,"800,740,259",10468,Silent
Antigua and Barbuda2001,,"800,740,259",10468,Silent
Antigua and Barbuda2001,,"800,740,259",10468,Millenials
Antigua and Barbuda2001,,"800,740,259",10468,Generation X
Antigua and Barbuda2001,,"800,740,259",10468,Millenials
Antigua and Barbuda2001,,"800,740,259",10468,Silent
Antigua and Barbuda2001,,"800,740,259",10468,Silent
Antigua and Barbuda2002,,"814,615,333",10499,Millenials
Antigua and Barbuda2002,,"814,615,333",10499,Generation X
Antigua and Barbuda2002,,"814,615,333",10499,Boomers
Antigua and Barbuda2002,,"814,615,333",10499,Millenials
Antigua and Barbuda2002,,"814,615,333",10499,Silent
Antigua and Barbuda2002,,"814,615,333",10499,Silent
Antigua and Barbuda2002,,"814,615,333",10499,Millenials
Antigua and Barbuda2002,,"814,615,333",10499,Generation X
Antigua and Barbuda2002,,"814,615,333",10499,Boomers
Antigua and Barbuda2002,,"814,615,333",10499,Millenials
Antigua and Barbuda2002,,"814,615,333",10499,Silent
Antigua and Barbuda2002,,"814,615,333",10499,Silent
Antigua and Barbuda2003,,"855,643,111",10878,Silent
Antigua and Barbuda2003,,"855,643,111",10878,Millenials
Antigua and Barbuda2003,,"855,643,111",10878,Generation X
Antigua and Barbuda2003,,"855,643,111",10878,Boomers
Antigua and Barbuda2003,,"855,643,111",10878,Millenials
Antigua and Barbuda2003,,"855,643,111",10878,Silent
Antigua and Barbuda2003,,"855,643,111",10878,Silent
Antigua and Barbuda2003,,"855,643,111",10878,Millenials
Antigua and Barbuda2003,,"855,643,111",10878,Generation X
Antigua and Barbuda2003,,"855,643,111",10878,Boomers
Antigua and Barbuda2003,,"855,643,111",10878,Millenials
Antigua and Barbuda2003,,"855,643,111",10878,Silent
Antigua and Barbuda2004,,"919,577,148",11535,Silent
Antigua and Barbuda2004,,"919,577,148",11535,Boomers
Antigua and Barbuda2004,,"919,577,148",11535,Millenials
Antigua and Barbuda2004,,"919,577,148",11535,Generation X
Antigua and Barbuda2004,,"919,577,148",11535,Boomers
Antigua and Barbuda2004,,"919,577,148",11535,Millenials
Antigua and Barbuda2004,,"919,577,148",11535,Silent
Antigua and Barbuda2004,,"919,577,148",11535,Silent
Antigua and Barbuda2004,,"919,577,148",11535,Millenials
Antigua and Barbuda2004,,"919,577,148",11535,Generation X
Antigua and Barbuda2004,,"919,577,148",11535,Millenials
Antigua and Barbuda2004,,"919,577,148",11535,Silent
Antigua and Barbuda2005,,"1,022,191,296",12649,Millenials
Antigua and Barbuda2005,,"1,022,191,296",12649,Generation X
Antigua and Barbuda2005,,"1,022,191,296",12649,Boomers
Antigua and Barbuda2005,,"1,022,191,296",12649,Millenials
Antigua and Barbuda2005,,"1,022,191,296",12649,Silent
Antigua and Barbuda2005,,"1,022,191,296",12649,Silent
Antigua and Barbuda2005,,"1,022,191,296",12649,Millenials
Antigua and Barbuda2005,,"1,022,191,296",12649,Generation X
Antigua and Barbuda2005,,"1,022,191,296",12649,Boomers
Antigua and Barbuda2005,,"1,022,191,296",12649,Millenials
Antigua and Barbuda2005,,"1,022,191,296",12649,Silent
Antigua and Barbuda2005,,"1,022,191,296",12649,Silent
Antigua and Barbuda2006,,"1,157,005,444",14114,Millenials
Antigua and Barbuda2006,,"1,157,005,444",14114,Generation X
Antigua and Barbuda2006,,"1,157,005,444",14114,Boomers
Antigua and Barbuda2006,,"1,157,005,444",14114,Millenials
Antigua and Barbuda2006,,"1,157,005,444",14114,Silent
Antigua and Barbuda2006,,"1,157,005,444",14114,Silent
Antigua and Barbuda2006,,"1,157,005,444",14114,Millenials
Antigua and Barbuda2006,,"1,157,005,444",14114,Generation X
Antigua and Barbuda2006,,"1,157,005,444",14114,Boomers
Antigua and Barbuda2006,,"1,157,005,444",14114,Millenials
Antigua and Barbuda2006,,"1,157,005,444",14114,Silent
Antigua and Barbuda2006,,"1,157,005,444",14114,Silent
Antigua and Barbuda2007,,"1,311,401,333",15775,Boomers
Antigua and Barbuda2007,,"1,311,401,333",15775,Millenials
Antigua and Barbuda2007,,"1,311,401,333",15775,Generation X
Antigua and Barbuda2007,,"1,311,401,333",15775,Boomers
Antigua and Barbuda2007,,"1,311,401,333",15775,Generation Z
Antigua and Barbuda2007,,"1,311,401,333",15775,Silent
Antigua and Barbuda2007,,"1,311,401,333",15775,Silent
Antigua and Barbuda2007,,"1,311,401,333",15775,Millenials
Antigua and Barbuda2007,,"1,311,401,333",15775,Generation X
Antigua and Barbuda2007,,"1,311,401,333",15775,Generation Z
Antigua and Barbuda2007,,"1,311,401,333",15775,Silent
Antigua and Barbuda2007,,"1,311,401,333",15775,Silent
Antigua and Barbuda2008,,"1,368,431,037",16238,Millenials
Antigua and Barbuda2008,,"1,368,431,037",16238,Generation X
Antigua and Barbuda2008,,"1,368,431,037",16238,Boomers
